transaction_id,date,product_id,product_name,category,quantity,unit_price,region,channel
TXN-1092,2024-01-06,P002,USB-C Hub,Electronics,10,45.7,North,wholesale
TXN-1093,2024-02-23,P006,Desk Lamp LED,Furniture,3,30.3,East,online
TXN-1094,2024-01-23,P006,Desk Lamp LED,Furniture,15,34.81,South,retail
TXN-1095,2024-02-25,P005,Ballpoint Pen (12pk),Office,20,8.44,West,retail
TXN-1096,2024-02-27,P006,Desk Lamp LED,Furniture,8,32.18,North,retail
TXN-1097,2024-03-04,P010,Ergonomic Chair Cushion,Furniture,13,26.31,East,online
TXN-1098,2024-02-05,P004,Notebook A5,Office,12,5.72,East,retail
TXN-1099,2024-01-25,P005,Ballpoint Pen (12pk),Office,18,-8.61,North,wholesale
TXN-1100,2024-03-01,P008,Webcam HD,Electronics,18,60.03,South,wholesale
TXN-1101,2024-02-21,P001,Wireless Mouse,Electronics,3,22.39,East,online
TXN-1102,2024-03-08,P010,Ergonomic Chair Cushion,Furniture,12,29.97,West,wholesale
TXN-1103,2024-02-28,P009,Whiteboard Markers (8pk),Office,11,11.53,East,wholesale
TXN-1104,2024-03-09,P002,USB-C Hub,Electronics,7,47.67,East,online
TXN-1105,2024-03-16,P004,Notebook A5,Office,7,5.56,West,retail
TXN-1106,2024-01-30,P005,Ballpoint Pen (12pk),Office,4,8.05,South,retail
TXN-1107,2024-01-07,P009,Whiteboard Markers (8pk),Office,5,12.4,East,online
TXN-1108,2024-03-14,P003,Mechanical Keyboard,Electronics,16,82.95,North,online
TXN-1109,2024-02-25,,Monitor Stand,Furniture,1,56.97,South,retail
TXN-1110,2024-01-20,P002,USB-C Hub,Electronics,19,49.61,North,online
TXN-1111,2024-02-23,P002,USB-C Hub,Electronics,8,48.42,North,wholesale
TXN-1112,2024-02-26,P004,Notebook A5,Office,17,5.62,West,retail
TXN-1113,2024-01-13,P007,Monitor Stand,Furniture,10,52.86,North,wholesale
TXN-1114,2025-12-31,P004,Notebook A5,Office,9,5.16,North,online
TXN-1115,2024-03-17,P001,Wireless Mouse,Electronics,14,21.36,West,wholesale
TXN-1116,2024-03-28,P005,Ballpoint Pen (12pk),Office,10,8.0,West,online
TXN-1117,2024-03-10,P010,Ergonomic Chair Cushion,Furniture,7,26.16,West,online
TXN-1118,2024-01-22,P005,Ballpoint Pen (12pk),Office,5,8.44,North,online
TXN-1119,2024-02-29,P010,Ergonomic Chair Cushion,Furniture,10,28.64,West,online
TXN-1120,2024-01-11,P005,Ballpoint Pen (12pk),Office,17,8.84,West,retail
TXN-1121,2024-01-12,P006,Desk Lamp LED,Furniture,20,33.28,East,online
TXN-1122,2024-02-04,P010,Ergonomic Chair Cushion,Furniture,19,28.92,North,wholesale
TXN-1123,2024-01-24,P003,Mechanical Keyboard,Electronics,16,82.38,West,retail
TXN-1124,2024-02-22,P008,Webcam HD,Electronics,3,61.77,West,retail
TXN-1125,2024-03-04,P003,Mechanical Keyboard,Electronics,11,89.25,West,wholesale
TXN-1126,2024-02-10,P009,Whiteboard Markers (8pk),Office,2,11.27,West,online
TXN-1127,2024-03-10,P007,Monitor Stand,Furniture,17,51.48,North,wholesale
TXN-1128,2024-02-26,P009,Whiteboard Markers (8pk),Office,12,11.44,West,wholesale
TXN-1129,2024-03-30,P009,Whiteboard Markers (8pk),Office,5,11.1,East,retail
TXN-1130,2024-03-11,P010,Ergonomic Chair Cushion,Furniture,,27.33,South,retail
TXN-1131,2024-03-23,P004,Notebook A5,Office,4,5.54,West,online
TXN-1132,2024-03-02,P005,Ballpoint Pen (12pk),Office,17,7.97,East,retail
TXN-1133,2024-03-17,P009,Whiteboard Markers (8pk),Office,5,12.75,West,online
TXN-1134,2024-03-05,P002,USB-C Hub,Electronics,9,42.51,West,retail
TXN-1135,2024-02-27,P005,Ballpoint Pen (12pk),Office,19,8.11,West,online
TXN-1136,2024-02-11,P009,Whiteboard Markers (8pk),Office,18,12.95,West,retail
TXN-1137,2024-02-22,P004,Notebook A5,Office,,5.76,West,online
TXN-1138,2024-01-07,P007,Monitor Stand,Furniture,5,53.94,West,online
TXN-1139,2024-02-28,P002,USB-C Hub,Electronics,,43.57,North,wholesale
TXN-1140,2024-02-13,P003,Mechanical Keyboard,Electronics,3,81.86,West,retail
TXN-1141,2024-03-21,P002,USB-C Hub,Electronics,11,48.19,West,retail
TXN-1142,2024-03-21,P009,Whiteboard Markers (8pk),Office,2,11.6,North,online
TXN-1143,2024-03-22,P004,Notebook A5,Office,3,5.18,West,online
TXN-1144,2024-02-11,P003,Mechanical Keyboard,Electronics,10,80.45,North,online
TXN-1145,2024-03-08,P006,Desk Lamp LED,Furniture,14,33.32,South,online
TXN-1146,2024-03-19,P003,Mechanical Keyboard,Electronics,6,84.86,South,online
TXN-1147,2024-02-29,P004,Notebook A5,Office,16,5.5,South,online
TXN-1148,2024-03-10,P999,Wireless Mouse,Electronics,15,22.9,East,wholesale
TXN-1149,2024-02-24,P006,Desk Lamp LED,Furniture,19,32.14,East,wholesale
TXN-1150,2024-01-14,P005,Ballpoint Pen (12pk),Office,7,8.41,West,retail
TXN-1151,2024-03-25,P010,Ergonomic Chair Cushion,Furniture,10,25.53,East,online
TXN-1152,2024-01-30,P001,Wireless Mouse,Electronics,20,22.56,West,retail
TXN-1153,2024-03-25,P004,Notebook A5,Office,20,5.21,East,wholesale
TXN-1154,2024-01-05,P002,USB-C Hub,Electronics,2,47.98,East,retail
TXN-1155,2025-12-31,P002,USB-C Hub,Electronics,10,43.48,East,wholesale
TXN-1156,2024-02-02,P009,Whiteboard Markers (8pk),Office,12,12.88,East,online
TXN-1157,2024-02-21,P001,Wireless Mouse,Electronics,3,22.39,East,online
TXN-1158,2024-01-02,P009,Whiteboard Markers (8pk),Office,12,11.28,North,retail
TXN-1159,2024-02-17,P006,Desk Lamp LED,Furniture,9,-30.97,West,wholesale
TXN-1160,2024-01-29,P001,Wireless Mouse,Electronics,20,23.62,East,wholesale
TXN-1161,2024-01-18,P008,Webcam HD,Electronics,,55.6,West,online
TXN-1162,2024-01-07,P007,Monitor Stand,Furniture,5,53.94,West,online
TXN-1163,2024-03-24,P007,Monitor Stand,Furniture,19,-55.39,South,retail
TXN-1164,2024-02-17,P007,Monitor Stand,Furniture,9,54.99,North,wholesale
TXN-1165,2024-02-17,P004,Notebook A5,Office,12,5.97,North,wholesale
TXN-1166,2024-01-25,P006,Desk Lamp LED,Furniture,2,34.72,West,retail
TXN-1167,2024-03-22,P008,Webcam HD,Electronics,3,55.45,South,wholesale
TXN-1168,2024-01-27,,Desk Lamp LED,Furniture,8,33.76,South,wholesale
TXN-1169,2024-02-12,P004,Notebook A5,Office,19,5.8,South,online
TXN-1170,2024-01-17,P010,Ergonomic Chair Cushion,Furniture,1,29.08,East,online
TXN-1171,2024-02-15,P002,USB-C Hub,Electronics,1,44.28,South,online
TXN-1172,2024-02-22,P010,Ergonomic Chair Cushion,Furniture,16,25.93,South,retail
TXN-1173,2024-03-06,P002,USB-C Hub,Electronics,16,45.88,West,retail
TXN-1174,2024-03-25,P004,Notebook A5,Office,20,5.5,North,wholesale
TXN-1175,2024-02-24,P001,Wireless Mouse,Electronics,2,23.08,West,retail
TXN-1176,2024-02-17,P006,Desk Lamp LED,Furniture,9,-30.97,West,wholesale
TXN-1177,2024-03-17,P010,Ergonomic Chair Cushion,Furniture,18,27.53,East,retail
TXN-1178,2024-01-15,P010,Ergonomic Chair Cushion,Furniture,14,28.42,North,wholesale
TXN-1179,2024-01-30,P009,Whiteboard Markers (8pk),Office,7,12.65,West,retail
TXN-1180,2024-02-24,P007,Monitor Stand,Furniture,14,53.29,North,retail
TXN-1181,2024-01-11,P003,Mechanical Keyboard,Electronics,16,-77.79,North,online
TXN-1182,2024-03-12,P006,Desk Lamp LED,Furniture,5,33.26,North,wholesale
TXN-1183,2024-01-07,P007,Monitor Stand,Furniture,12,56.39,West,wholesale
TXN-1184,2024-03-25,P006,Desk Lamp LED,Furniture,4,34.19,South,online
TXN-1185,2024-02-05,P006,Desk Lamp LED,Furniture,18,33.98,East,online
TXN-1186,2024-03-25,P009,Whiteboard Markers (8pk),Office,20,11.56,North,wholesale
TXN-1187,2024-02-14,P003,Mechanical Keyboard,Electronics,,88.23,East,retail
TXN-1188,2024-03-22,P010,Ergonomic Chair Cushion,Furniture,13,25.9,North,online
TXN-1189,2024-02-28,P009,Whiteboard Markers (8pk),Office,7,11.76,West,retail
TXN-1190,2024-01-20,P999,Desk Lamp LED,Furniture,19,32.98,North,online
TXN-1191,2024-02-24,P002,USB-C Hub,Electronics,9,45.81,West,wholesale
TXN-1192,2024-03-25,P010,Ergonomic Chair Cushion,Furniture,10,25.53,East,online
TXN-1193,2024-01-29,P008,Webcam HD,Electronics,17,61.08,East,online
TXN-1194,2024-01-18,P001,Wireless Mouse,Electronics,7,22.33,East,online
TXN-1195,2025-12-31,P002,USB-C Hub,Electronics,1,45.34,West,wholesale
TXN-1196,2024-02-20,P004,Notebook A5,Office,17,5.13,East,online
TXN-1197,2024-03-14,P001,Wireless Mouse,Electronics,15,22.76,North,retail
TXN-1198,2024-01-03,P007,Monitor Stand,Furniture,10,52.54,North,retail
TXN-1199,2024-02-25,P010,Ergonomic Chair Cushion,Furniture,15,26.59,East,online
TXN-1200,2024-02-09,P010,Ergonomic Chair Cushion,Furniture,13,26.49,North,retail
TXN-1201,2024-03-06,P003,Mechanical Keyboard,Electronics,3,86.97,North,wholesale
TXN-1202,2024-01-19,P006,Desk Lamp LED,Furniture,5,30.65,South,online
TXN-1203,2024-03-04,P003,Mechanical Keyboard,Electronics,3,84.1,South,wholesale
TXN-1204,2024-02-10,P999,Ergonomic Chair Cushion,Furniture,15,25.8,East,wholesale
TXN-1205,2024-01-08,P008,Webcam HD,Electronics,10,55.96,East,wholesale
TXN-1206,2024-02-17,P008,Webcam HD,Electronics,15,55.99,North,online
TXN-1207,2024-03-15,P002,USB-C Hub,Electronics,20,48.43,West,retail
TXN-1208,2024-03-18,P001,Wireless Mouse,Electronics,15,21.81,South,retail
TXN-1209,2024-01-11,P001,Wireless Mouse,Electronics,15,21.89,North,retail
TXN-1210,2024-03-07,P004,Notebook A5,Office,15,5.42,West,wholesale
TXN-1211,2024-03-27,P005,Ballpoint Pen (12pk),Office,13,8.71,West,retail
TXN-1212,2024-03-12,P006,Desk Lamp LED,Furniture,3,31.23,East,online
TXN-1213,2024-03-15,P010,Ergonomic Chair Cushion,Furniture,5,29.62,East,online
TXN-1214,2024-01-11,P005,Ballpoint Pen (12pk),Office,13,8.15,South,wholesale
TXN-1215,2024-03-26,P006,Desk Lamp LED,Furniture,5,31.64,North,wholesale
TXN-1216,2024-02-13,P006,Desk Lamp LED,Furniture,10,32.29,South,online
TXN-1217,2024-02-07,P004,Notebook A5,Office,5,5.18,South,online
TXN-1218,2024-02-13,P009,Whiteboard Markers (8pk),Office,17,12.25,North,wholesale
TXN-1219,2024-01-24,P010,Ergonomic Chair Cushion,Furniture,13,28.96,South,online
TXN-1220,2024-02-16,P003,Mechanical Keyboard,Electronics,15,79.7,North,retail
TXN-1221,2024-02-27,P008,Webcam HD,Electronics,20,57.57,East,wholesale
TXN-1222,2024-03-14,P008,Webcam HD,Electronics,7,59.74,East,wholesale
TXN-1223,2024-01-26,P005,Ballpoint Pen (12pk),Office,13,7.83,West,online
TXN-1224,2024-03-11,P005,Ballpoint Pen (12pk),Office,2,8.6,West,retail
TXN-1225,2024-01-21,P009,Whiteboard Markers (8pk),Office,4,12.81,East,online
TXN-1226,2024-02-27,P003,Mechanical Keyboard,Electronics,14,89.05,North,online
TXN-1227,2024-02-17,P007,Monitor Stand,Furniture,2,59.94,West,wholesale
TXN-1228,2024-01-13,P006,Desk Lamp LED,Furniture,8,33.15,North,retail
TXN-1229,2024-03-01,P003,Mechanical Keyboard,Electronics,5,78.36,North,retail
TXN-1230,2024-01-03,P008,Webcam HD,Electronics,15,63.38,North,online
TXN-1231,2024-02-06,P009,Whiteboard Markers (8pk),Office,20,11.28,West,online
TXN-1232,2024-01-15,P004,Notebook A5,Office,14,5.54,West,online
TXN-1233,2024-01-19,P009,Whiteboard Markers (8pk),Office,1,11.04,South,wholesale
TXN-1234,2024-03-26,P006,Desk Lamp LED,Furniture,8,32.49,West,online
TXN-1235,2024-03-01,P006,Desk Lamp LED,Furniture,,31.77,North,retail
TXN-1236,2024-01-09,P006,Desk Lamp LED,Furniture,9,33.59,North,retail
TXN-1237,2024-01-06,P002,USB-C Hub,Electronics,19,45.03,East,online
TXN-1238,2024-01-24,P003,Mechanical Keyboard,Electronics,15,77.34,West,wholesale
TXN-1239,2024-01-06,P008,Webcam HD,Electronics,2,63.88,East,online
TXN-1240,2024-03-01,P006,Desk Lamp LED,Furniture,10,33.7,West,wholesale
TXN-1241,2024-03-24,P004,Notebook A5,Office,10,5.2,East,online
TXN-1242,2024-02-26,P006,Desk Lamp LED,Furniture,14,31.77,West,wholesale
TXN-1243,2024-03-07,P003,Mechanical Keyboard,Electronics,16,77.61,West,retail
TXN-1244,2024-01-24,P007,Monitor Stand,Furniture,3,53.88,West,wholesale
TXN-1245,2024-02-27,P002,USB-C Hub,Electronics,11,45.69,East,retail
TXN-1246,2024-02-15,P008,Webcam HD,Electronics,12,59.48,West,online
TXN-1247,2024-03-06,P001,Wireless Mouse,Electronics,3,23.79,West,retail
TXN-1248,2024-01-17,,Wireless Mouse,Electronics,5,24.16,West,online
TXN-1249,2024-01-05,P006,Desk Lamp LED,Furniture,12,33.31,West,wholesale
TXN-1250,2024-01-01,P010,Ergonomic Chair Cushion,Furniture,1,26.83,West,retail
TXN-1251,2024-01-24,P005,Ballpoint Pen (12pk),Office,8,8.16,North,online
TXN-1252,2024-02-27,P009,Whiteboard Markers (8pk),Office,4,12.23,East,retail
TXN-1253,2024-01-10,P008,Webcam HD,Electronics,7,64.0,North,online
TXN-1254,2024-02-14,P008,Webcam HD,Electronics,3,60.6,East,wholesale
TXN-1255,2024-03-30,P005,Ballpoint Pen (12pk),Office,10,8.71,South,wholesale
TXN-1256,2024-01-18,P009,Whiteboard Markers (8pk),Office,8,12.0,North,online
TXN-1257,2024-03-24,P002,USB-C Hub,Electronics,15,48.76,North,online
TXN-1258,2024-02-22,P005,Ballpoint Pen (12pk),Office,13,8.75,West,wholesale
TXN-1259,2024-01-10,P002,USB-C Hub,Electronics,5,47.59,East,wholesale
TXN-1260,2024-02-25,P006,Desk Lamp LED,Furniture,5,34.3,South,online
TXN-1261,2024-01-22,P999,USB-C Hub,Electronics,17,49.5,South,retail
TXN-1262,2024-02-02,P004,Notebook A5,Office,12,5.95,East,online
TXN-1263,2024-03-09,P005,Ballpoint Pen (12pk),Office,5,-8.51,East,wholesale
TXN-1264,2024-03-25,P010,Ergonomic Chair Cushion,Furniture,19,29.55,South,online
TXN-1265,2024-01-11,P006,Desk Lamp LED,Furniture,,33.11,North,online
TXN-1266,2024-02-23,P010,Ergonomic Chair Cushion,Furniture,9,25.63,South,wholesale
TXN-1267,2024-02-01,P009,Whiteboard Markers (8pk),Office,10,12.38,East,retail
TXN-1268,2024-01-08,P999,Ballpoint Pen (12pk),Office,15,8.2,North,wholesale
TXN-1269,2024-01-19,P008,Webcam HD,Electronics,7,62.24,East,wholesale
TXN-1270,2024-03-06,P006,Desk Lamp LED,Furniture,13,31.42,South,retail
TXN-1271,2024-02-20,P004,Notebook A5,Office,17,5.13,East,online
TXN-1272,2024-02-11,P010,Ergonomic Chair Cushion,Furniture,14,28.74,South,online
TXN-1273,2024-02-29,P004,Notebook A5,Office,6,5.37,West,wholesale
TXN-1274,2024-02-28,P001,Wireless Mouse,Electronics,3,22.05,West,wholesale
TXN-1275,2024-03-04,P006,Desk Lamp LED,Furniture,2,34.17,North,retail
TXN-1276,2024-02-14,P003,Mechanical Keyboard,Electronics,,88.23,East,retail
TXN-1277,2024-01-07,P007,Monitor Stand,Furniture,12,52.74,North,retail
TXN-1278,2024-03-05,P009,Whiteboard Markers (8pk),Office,10,12.11,North,retail
TXN-1279,2024-01-13,P010,Ergonomic Chair Cushion,Furniture,20,29.07,North,online
TXN-1280,2024-01-26,P006,Desk Lamp LED,Furniture,18,31.85,East,online
TXN-1281,2024-02-12,P001,Wireless Mouse,Electronics,2,23.19,North,online
TXN-1282,2024-03-19,P003,Mechanical Keyboard,Electronics,20,81.8,South,retail
TXN-1283,2024-03-06,P010,Ergonomic Chair Cushion,Furniture,10,28.68,East,wholesale
TXN-1284,2024-02-12,P005,Ballpoint Pen (12pk),Office,16,8.96,North,retail
TXN-1285,2024-03-01,P010,Ergonomic Chair Cushion,Furniture,10,28.44,North,wholesale
TXN-1286,2024-01-07,P010,Ergonomic Chair Cushion,Furniture,19,26.26,South,wholesale
TXN-1287,2024-02-01,P010,Ergonomic Chair Cushion,Furniture,,29.76,South,wholesale
TXN-1288,2024-02-10,P002,USB-C Hub,Electronics,7,45.59,North,retail
TXN-1289,2024-01-08,P004,Notebook A5,Office,14,5.56,West,wholesale
TXN-1290,2024-02-18,P009,Whiteboard Markers (8pk),Office,11,11.38,West,wholesale
TXN-1291,2024-03-28,P009,Whiteboard Markers (8pk),Office,11,12.39,East,wholesale
TXN-1292,2024-02-05,P010,Ergonomic Chair Cushion,Furniture,16,26.5,South,online
TXN-1293,2024-03-03,P005,Ballpoint Pen (12pk),Office,10,8.11,South,wholesale
TXN-1294,2024-03-27,P005,Ballpoint Pen (12pk),Office,10,8.85,North,wholesale
TXN-1295,2024-01-06,P007,Monitor Stand,Furniture,12,57.42,South,retail
TXN-1296,2024-03-02,P006,Desk Lamp LED,Furniture,15,34.09,East,wholesale
TXN-1297,2024-01-14,P005,Ballpoint Pen (12pk),Office,18,8.43,East,online
TXN-1298,2024-01-30,,Notebook A5,Office,2,5.46,South,wholesale
TXN-1299,2024-03-11,P008,Webcam HD,Electronics,4,56.78,South,online
TXN-1300,2024-02-11,P008,Webcam HD,Electronics,16,55.82,South,retail
TXN-1301,2024-01-05,P002,USB-C Hub,Electronics,19,43.8,South,wholesale
TXN-1302,2024-01-24,P003,Mechanical Keyboard,Electronics,2,89.48,West,retail
TXN-1303,2024-03-13,P005,Ballpoint Pen (12pk),Office,2,8.89,North,retail
TXN-1304,2024-03-10,P006,Desk Lamp LED,Furniture,10,34.41,West,wholesale
TXN-1305,2024-01-25,P003,Mechanical Keyboard,Electronics,17,80.96,West,retail
TXN-1306,2024-02-13,P008,Webcam HD,Electronics,9,60.78,South,online
TXN-1307,2024-03-06,P004,Notebook A5,Office,6,5.45,West,retail
TXN-1308,2024-02-11,P002,USB-C Hub,Electronics,6,42.54,South,retail
TXN-1309,2024-02-12,P007,Monitor Stand,Furniture,8,57.5,West,retail
TXN-1310,2024-01-31,,Wireless Mouse,Electronics,9,21.68,East,wholesale
TXN-1311,2024-03-05,P005,Ballpoint Pen (12pk),Office,6,8.84,West,wholesale
TXN-1312,2024-03-19,P005,Ballpoint Pen (12pk),Office,4,8.93,East,retail
TXN-1313,2024-03-18,P008,Webcam HD,Electronics,5,62.08,West,wholesale
TXN-1314,2024-03-28,P008,Webcam HD,Electronics,18,63.75,South,online
TXN-1315,2024-02-16,,USB-C Hub,Electronics,17,46.72,West,wholesale
TXN-1316,2024-02-23,P010,Ergonomic Chair Cushion,Furniture,9,25.63,South,wholesale
TXN-1317,2024-03-15,P008,Webcam HD,Electronics,4,64.0,South,wholesale
TXN-1318,2024-03-06,P008,Webcam HD,Electronics,2,60.74,West,online
TXN-1319,2024-01-03,P009,Whiteboard Markers (8pk),Office,15,12.63,East,wholesale
TXN-1320,2024-02-24,P004,Notebook A5,Office,19,5.15,North,online
TXN-1321,2024-02-06,P001,Wireless Mouse,Electronics,3,24.12,West,online
TXN-1322,2024-02-18,P007,Monitor Stand,Furniture,12,57.14,West,retail
TXN-1323,2024-01-23,P009,Whiteboard Markers (8pk),Office,5,11.81,East,online
