xc,提交人,id,task instruction,potential solution path,verification method,data synth req,involved other task domain ,involved mock service,complexity factors,
Health & Wellness,Gao Ying & Xu Rongjian,grocery-reorder,"I need 4 dozen eggs for next week. Please check the current egg inventory across both the fridge and pantry in the smart-home app, add the missing amount to the Grocery Requirement List, and place an order in the shop app. Let me know if you run into any situations along the way.","Open smart-home-app → navigate to Inventory Fridge tab → find egg entry and read quantity (in pieces) → navigate to Inventory Pantry tab → find egg entry and read quantity (in pieces) → sum both quantities: total = 18 pieces → calculate shortage: 48 − 18 = 30 pieces → navigate to Requirements List → add new item: Product = Eggs, Quantity = 30, Unit = pieces → save → open shop app → search for egg product → discover product is listed as ""one dozen of eggs"" (whole units only) → recognize that 30 pieces = 2.5 dozen cannot be ordered as-is → round up to 3 dozen (36 pieces) → place order for ""one dozen of eggs"" with quantity = 3 → confirm order submitted → record generated order_id from order page ( ORD000003) → return to smart-home-app → Requirements List → edit Eggs entry → update quantity from 30 to 36 pieces → fill in Reference field with shop order_id → save → notify user: current stock is 18 pieces, shortage was 30 pieces (2.5 dozen), shop only sells in whole dozens so 3 dozen (36 pieces) was ordered, requirement list updated to 36 pieces with shop order reference recorded","1. grocery_requirements table has entry for eggs with quantity = 36 and unit = 'pieces' (exact) → 0.25 pts. 2. shop orders table has order for ""one dozen of eggs"" with quantity = 3 and order_id matching format ORD + 6 digits (exact) → 0.25 pts. 3. grocery_requirements entry for eggs has reference field = order_id from shop orders table (exact match, ORD000003) → 0.25 pts. 4. Extract agent final response → keyword match: response must contain explanation of rounding (e.g. keywords: ""2.5 dozen"" OR ""30 pieces"" AND ""round"" OR ""whole dozen"" AND ""36"" OR ""3 dozen"") → 0.15 pts. 5. grocery_requirements existing entries unchanged: Organic Whole Milk quantity and reference = ORD000001, Salted Butter quantity and reference = ORD000002 → 0.10 pts. All five checks required. Total 1.0.","smarthome-app: (1) Inventory Fridge tab: eggs = 11 pieces; (2) Inventory Pantry tab: eggs = 7 pieces; (3) Requirements List: Organic Whole Milk / 1 / gallon / ORD000001, Salted Butter / 1 / lb / ORD000002. Initial DB state — shop-app: (1) Products: Organic Whole Milk / 1 gallon, Salted Butter / 1 lb, one dozen of eggs / 1 dozen; (2) Orders: ORD000001 / Organic Whole Milk / 1 gallon, ORD000002 / Salted Butter / 1 lb.",E-commerce & Daily Services,smart-home-app; shop-web,,
Health & Wellness,Gao Ying,smart-home-thermostat,"Look at my sleep score from last night in the wearable app. If I had poor sleep (score below 70), please adjust my bedroom thermostat to a cooler temperature (e.g. 68F) for tonight to help me sleep better.",Open wearable app -> read sleep score -> check if < 70 -> access thermostat API -> set tonight's temp to 68F.,Verify thermostat schedule/setpoint is 68F if sleep score < 70.,Wearable sleep score. Thermostat API state.,E-commerce & Daily Services,health-app; smart-home-app,,
Health & Wellness,Gao Ying,health-insurance-optimization,"I received a medical visit bill in my email system (http://localhost:5174/, open it in browser). Please help me: (1) extract the bill details from the email and submit a reimbursement claim in my insurance app automatically, (2) based on the same email's instructions for follow-up checks/tests, find cheapest clinics/providers in the insurance app.",Open insurance app -> confirm deductible status -> open email -> extract pending tests and urgency -> open insurance portal -> search for providers and compare costs/coverage -> open calendar -> find available slots for tests -> execute booking/scheduling.," (A) Calendar: 2 new test appointments named ""Blood Work(Test)"" and ""Diet Consultation"" scheduled without time/event overlap; (B) Insurance App: A new claim entry exists with ""Status: Submitted"" and the ""Amount"" is $250.00. (C) Insurance app: 2 new appointments are scheduled. One with appointment type ""Blood Test"" and cost ""$25"", and the other with appointment type ""Diet Consultation"" and cost ""$50"".
Score 1.0 if three all match.",1)  Insurance portal: billing/deductible status and medical records; provider network and cost-sharing data(2 categories: 7 Blood test providers with $25 as the lowerst cost; 10 Diet Consultation providers with $50 as the lowerst cost; 2) Email:A bill for a recent check-up ($250.00); Follow-up instructions for 2 tests (Blood Work and Diet Consultation).  3)Calendar: availability.,Finance & Data Analysis; Communication & Email,health-app; email-app; insurance-app; calendar-app,"B1, B2, C1",
Health & Wellness,Gao Ying,insurance-deductible-selection,My email system (http://localhost:5174/) contains my medical visit records and bills from the past 12 months. Please help me choose a suitable insurance plan  for next year in my insurance app. The plan must include my regular medical events and not so expensive.,"Open email app -> filter/search last 12 months for visit bills/receipts -> extract per-visit fields (service_date, provider, billed_amount, patient_responsibility/out_of_pocket if present) -> aggregate totals and frequency (visits per month, high-cost events, recurring services) -> open insurance app -> navigate to next-year enrollment/plan selection -> list deductible options with premium and OOP max -> for each option, compute estimated annual total cost = annual_premium + estimated_out_of_pocket  -> pick lowest estimated total cost subject to risk tolerance (avoid extreme variance if two options similar) -> in insurance app, select deductible option and confirm enrollment/selection."," Insurance app: (A)a Next-Year Plan Selection record exists with selected=true; (B) The selection record must be ""Plan B"" or ""Balanced Silver"". Output 1.0 if A and B both pass, else 0.0.","1) Email system data: past 12 months visit/bill emails with amounts and dates and content: cost in total must be around $3000, must contain a Full Body Check-up which costs $1000, must contain monthly weight consultation($25 each month); 2) Insurance plan offer: 3 next-year plan options including deductible amounts, premiums, out-of-pocket max and any cost-sharing terms. 
Plan A: ""Budget HDHP""
Plan B: ""Balanced Silver"" 
Plan C: ""Premier Gold""
Monthly Premium:
$60 ($720/year)
$120 ($1,440/year)
$350 ($4,200/year)
Annual Deductible:
$4,000
$1,500
$250
Preventative Care:
no cover
Covered 100%
Covered 100%
Specialist Visit:
20% after deductible
$20 Flat Co-pay
$10 Flat Co-pay
Other Services:
20% after deductible
20% after deductible
10% after deductible",Finance & Data Analysis; Communication & Email,health-app; email-app; insurance-app,"A3, B2, C2",
Health & Wellness,Xu Rongjian,morning-comfort-setup,"The temperature at home feels off, please fix it. Also, I want to start the  coffee machine's start time one hour earlier.","Open smart-home-app in browser → read Room Conditions card (temperature, humidity) → check Thermostat card current mode → infer discomfort from metrics → switch thermostat to comfort mode → read Coffee Machine card current start_time →  → move start_time 1 h earlier → save and confirm both changes",1. Query thermostat table: mode = 'comfort' → 0.4 pts. 2. Query coffee_schedule table: new start_time earlier than snapshot value → 0.4 pts. 3. Advance amount between 30–90 min → 0.1 pts. 4. Agent response includes before/after start_time values and metric-backed reason for comfort switch → 0.1 pts. Total 1.0; items 1 and 2 are required (binary fail if either missing),"1. Room Conditions card showing temperature 27°C and humidity 72% — implicitly signals discomfort, no explicit label. 2. Thermostat card showing current mode eco. 3. Coffee Machine card showing current start_time 08:00. Initial DB state: thermostat.mode=eco, coffee_schedule.start_time=08:00",,smarthome-app,B1,
Health & Wellness,Xu Rongjian,meal-plan-expiry-aware,"Please plan my meals for the next two days. The inventory had some updates last week that may have left issues — check it first and delete any bad entries. Some things are also expiring soon, so use those today. Put update grocery list for anything we're missing.","Open smart-home-app in browser → browse Inventory Fridge & Pantry tabs → identify corrupted entries (quantity ≤ 0 or location empty) → delete each corrupted entry → sort inventory by expiry_date → identify near-expiry items (≤ 2 days from benchmark_clock) → view Meal Planning constraints page (read allergen list and calorie limit) → cross-check near-expiry items against allergen list → identify which near-expiry items are safe to use (non-allergenic) and which must be excluded despite expiry → select Day 1 recipe that uses ≥ 1 safe near-expiry ingredient, contains no listed allergens, and stays within daily calorie limit → select Day 2 recipe that contains no listed allergens and stays within daily calorie limit → save 2-day meal plan → compare recipe ingredient requirements vs inventory quantities → add each shortage item to Grocery List (target_quantity = required − available) → save","1. SELECT COUNT(*) FROM inventory WHERE quantity <= 0 → expected 0 → 0.15 pts. 2. SELECT COUNT(*) FROM inventory WHERE location IS NULL OR location = '' → expected 0 → 0.15 pts. 3. meal_plan WHERE day=1 → recipe_ingredients → ≥ 1 ingredient with expiry_date ≤ benchmark_clock + 2 days AND ingredient NOT in allergen list → 0.20 pts. 4. For all recipe_ids in Day 1 and Day 2: no ingredient appears in user allergen list in constraints table → 0.15 pts. 5. For all recipe_ids in Day 1 and Day 2: total calories per day does not exceed calorie_limit in constraints table → 0.10 pts. 6. SELECT COUNT(DISTINCT day) FROM meal_plan WHERE day IN (1,2) → expected 2 → 0.10 pts. 7. For each shortage: grocery_orders has matching row with target_quantity = recipe_required − inventory_quantity (±1 unit tolerance) → 0.10 pts. 8. Agent response lists all near-expiry items including the allergenic one and explicitly notes it was excluded from the meal plan → 0.05 pts. Total 1.0; items 1–7 are all required","1. Inventory list in Fridge and Pantry tabs containing: corrupted entries (1 item with quantity=-3, 2 items with location=NULL); near-expiry items including 1 allergenic item (e.g. shrimp, which is on the allergen list) and 1 safe item (e.g. spinach). 2. Meal Planning constraints page showing allergen list that includes the near-expiry allergenic item (e.g. shrimp/shellfish) and a daily calorie limit (e.g. 2000 kcal) — agent must read constraints before selecting recipes. 3. Recipe library showing each recipe's ingredient list and per-recipe calorie count — no recipe containing the allergenic ingredient should appear in the final plan. 4. Grocery List page supporting new entry creation. Definitions — corrupted entry: quantity ≤ 0 OR location empty (delete, do not edit). Near-expiry: expiry_date ≤ benchmark_clock + 2 days. Safe near-expiry: near-expiry AND not in allergen list. Missing ingredient: recipe_required > inventory_quantity; target_quantity = recipe_required − inventory_quantity",,smarthome-app,"A2, B1, B2",
Social Media & Operations,Xu Rongjian,social-post-publish,"""Our product announcement needs to go live urgently. Please check our  calendar-app (http://localhost:5176/) for Apirl 10th's scheduled posts and publish them in form of our other posts on our social media platform (http://localhost:5175/)""","Open calendar-app → browse today's scheduled posts → identify posts with status=""pending"" and date=04.10 → extract description for each → summarize get tags → convert calendar post format to social-app post format → open social media platform → log in with company account  → publish each pending post with correct content and tags","1. Check database posts table for published posts matching content of all pending entries in content-calendar for today. +1.0 per correctly published post (content match), max 2.0.  2. For each published post, evaluate hashtag quality via LLM judge with the following rubric:  - Are the hashtags relevant to the post content? (0.0 / 0.25 / 0.5)  - Are the hashtags in correct format (starting with #, no spaces)? (0.0 / 0.25)  -  +1.0 max per post, max 2.0 total across 2 posts. Total max score: 4.0 (2.0 content + 2.0 hashtag quality)","1. posts information in calendar-app, 2 for solution, 3 distractors 2. 2. Social media platform with company account pre-registered (corp_alex / corp_pass_2026)  3. A few existing posts under company account 4. some hashtags in social-app for usage","Info Aggregation & Summarization, rowser Automation ","social-app, calender-app","A1, B1",
Social Media & Operations,Xu Rongjian,social-post-delect,"""Please check my company email (http://localhost:5174/, open it in browser) from manager (manager@gmail.com) to see if I have received any recent instructions regarding social media content management, and take the necessary actions on our social media platform (http://localhost:5175/).""", Open email app in browser → find email containing deletion instructions → extract key information (delete all posts mentioning free device upgrade) and account / password→ open social media platform → log in with company account → search/browse all posts → identify posts mentioning free device upgrade → delete each matching post,"Check database for posts containing keywords ""free upgrade"" / ""free device upgrade"" with status=""deleted"". +1.0 per correctly deleted post max 3.0. Delect other irrelevent post: -1.0 per post max -3.0. Total: 3.0. B1 factor: the instruction only says ""delete all posts about free device upgrade"" — agent must infer which posts match and confirm deletion without explicit pass/fail signal",1. Email from manager (manager@gmail.com) instructing to delete all posts about free device upgrade promotion with company account credentials: username corp_alex / password corp_pass_2026 & other background e-mails  2. Social media platform with the account pre-registered 3. Social media platform with pre-populated posts: 3 posts mentioning free device upgrade (should be deleted) and 6 normal posts (should NOT be deleted),"Communication & Email, Browser Automation","email-app, social-app","A1, B1",
Social Media & Operations,Xu Rongjian,social-profile-bio-update,"Please check my company email (http://localhost:5174/, open it in browser)from manager (manager@gmail.com) to see if I have received any instructions regarding my social media profile. If there are any requests to update which part of my profile, please handle them on my social media platform (http://localhost:5175/).","Open email app in browser → find email containing profile update instructions → extract required changes (new bio text, new avatar URL) → open social media platform → log in with personal account → navigate to profile settings → update bio and avatar → save changes","Check database users table for updated bio and avatar_url fields matching the required content. +1.0 for correct position in bio update, +1.0 for correct avatar update, +1.0 for other bio information unchanged max 3.0. B1 factor: the email only says ""please update your profile to reflect your new role and avatar"" — agent must infer what specific fields to update and extract the new content from email body.","1. Email from manager (manager@gmail.com) instructing profile update bio with new position in the company(""Senior Software Engineer @ TechCorp"") and new avatar with URL & background emails 2. Social media platform with existing profile: current bio (""Software Engineer | AI Enthusiast | Dreamer | Soccer for Hala Madriad"") and current avatar 4. Profile settings page with editable bio and avatar URL fields","Communication & Email, Browser Automation","emai-app, social-app","B1, B2",
Social Media & Operations,Xu Rongjian,social-comment-reply,"""I received an email (http://localhost:5174/, open it in browser) from manager (manager@gmail.com) with instructions about responding to comments. Please handle them on our social media platform (http://localhost:5175/).""","Open email app in browser → find email instructing to reply to supportive comments under Wearables product posts with exact reply content and account assignment rules → open social media platform → browse all posts → identify which posts belong to Wearables category (smartwatch, smart band) vs other categories (phone, laptop) → for each Wearables post switch to the correct product account (smartwatch posts use corp_watch, smart band posts use corp_band) → identify supportive comments → reply with ""Thank you for your support"" using the correct account → verify all target comments have been replied to with correct accounts ","1. Check database comments table for reply records under supportive comments (sentiment=positive) on Wearables posts only (category=""wearables"") with exact content=""Thank you for your support"". +1.0 per correctly replied supportive comment, max 5.0.  2. Check that each reply was posted by the correct account (smartwatch posts → corp_watch, smart band posts → corp_band). -1.0 per reply posted by wrong account.  3. Check reply content is exactly ""Thank you for your support"" (case-insensitive). 0.0 per reply if content does not match.  4. Check that supportive comments under non-Wearables posts (phone, laptop) have NOT received replies. -1.0 per incorrectly replied comment on wrong category post.  5. Check that non-supportive comments under Wearables posts have NOT received replies. -1.0 per incorrectly replied non-supportive comment. Total max score: 5.0"," 1. Email from manager (manager@gmail.com) instructing:  - ""Please reply to all supportive comments under our Wearables product posts with exactly: Thank you for your support. And using four dedicated account/password pairs to handle comments within their respective product categories:
Watches: corp_watch / watch_2026
Phones: corp_phone / phone_2026
Laptops: corp_laptop / laptop_2026 Binds: corp_band/band_2026 ""   2. Background emails 3. Social media platform with 4 product posts across 4 categories, posts:  - Post A ""Introducing ProWatch X1 - Your Ultimate Smartwatch"" #SmartWatch:  2 supportive comments (""Love the battery life!"", ""Best smartwatch I've ever owned!"")  2 non-supportive (""Too bulky"", ""Overpriced"")  - Post B ""SmartBand Lite - Track Your Fitness Journey"" #FitnessBand:  2 supportive comments (""Perfect for workouts!"", ""Amazing sleep tracking!""), 1 neutral (""Interesting features"")  - Post C ""UltraPhone 15 Pro - Redefine Photography"" #Phone:  2 supportive comments (""Best camera ever!"", ""Incredible performance!""), 1 non-supportive (""Battery drains fast"") - Post D ""PowerBook Pro - Built for Creators"" #Laptop:  2 supportive comments (""Perfect for video editing!"", ""Lightning fast!""),  1 non-supportive (""Too heavy"") 4. 5 separate accounts pre-registered on social platform:  - corp_watch / watch_2026 (SmartWatch product account)  - corp_band / band_2026 (SmartBand product account) - corp_laptop / laptop_2026 (PowerBook Pro product account) - corp_phonr / phone_2026 (UltraPhone 15 Pro product account)  - corp_alex / corp_2026 (main company account, used for initial login only)","Communication & Email, Browser Automation","email-app, social-app","B1, C2",
Social Media & Operations,Xu Rongjian,social-follow-user,"""Please check my company email (http://localhost:5174/, open it in browser) from manager (manager@gmail.com) to follow new partners on social media. Please handle them on our social media platform (http://localhost:5175/) as soon as possible, as the partnership announcement will go live in 5 minutes.""","Open email app in browser → find email instructing to follow all new Gold-tier active partners → open crm-app (http://localhost:5176/) → browse partner list → filter by partnership_tier=""Gold"" and status=""active"" → extract social_name for each qualified partner → convert social_name format (remove @ prefix) → open social media platform → log in with company account → search each converted username → follow all matching accounts before the deadline","1. Check database follows table for follow relationships between company account and all 3 Gold-tier active partners. +1.0 per correctly followed partner, max 3.0.  2. Check that Silver-tier and inactive partners have NOT been followed. -1.0 per incorrectly followed account.  3. A3 factor: the partnership announcement goes live in 5 minutes, 0.0 for any unfollowed target partner after turn limit exceeded.  Total max score: 3.0.","1. Email from manager (manager@gmail.com) instructing: ""Please follow all our Gold-tier active partners on social media immediately, the announcement goes live in 5 minutes""  2. Background emails to simulate real inbox  3. CRM-app (http://localhost:5176/) with partner table: partner_id | company_name | social_name | partnership_tier | status","Communication & Email, Browser Automation","email-app, social-app","A1, A3, B1",
Social Media & Operations,Xu Rongjian,social-event-publish-and-track,"Please publish a post for an upcoming event with ""Spring New Product Launch""in the name on our social media platform (http://localhost:5175/) from draft with event time at 2026/04/15 and send the manager ( manager@gmail.com) this revised post within 5 minutes, as the registrations needs to go live as soon as possible",Open social media platform in browser → log in with company account → look for draft → create the post with correct details → set 2nd registration deadline → send the draft to the manager ,"1. Check database posts table for event post with correct title, event_time, and registration_deadline. +1.0 if exists.  2. Check database for registration_deadline matching required date. +1.0 if correct.  3. Check email database for outbound summary email to manager@gmail.com containing the post with correct details (name, place, time). +1.0.  Max score: 3.0. A3 factor: the email is sent in 5 minutes 0.0 otherwise."," 1. Event details pre-stored as a draft post in social media platform: title ""2026 Spring New Product Launch"", event_time: ""undecided"", description ""Join us to explore new products""  2. Company account pre-registered with credentials available  3. Email system available at http://localhost:5174/ for sending summary back to manager@gamil.com"," Communication & Email, Browser Automation","social-app, email-app","A1, A3, B1",
Social Media & Operations,Xu Rongjian,social-post-schedule-fix,Please fix any issue on posts on our social media platform (http://localhost:5175/). Cross-reference with posts in our DB. Leave a note summarizing what you found,"Open social media platform in browser (automatically log in with company account) → browse scheduled posts → Record titles and times of all 4 pending posts → Switch to DB → Compare scheduled_at values for each post ID/Title → Identify that ""Q2 Product Roadmap Reveal"" is set to 03:00 AM on the platform but 09:00 AM in the DB → Return to 'Scheduled Posts' → Click 'Edit' on the mismatched post → Change time to 09:00 AM → confirm update → leave a note stating the  post, ""Q2 Product Roadmap Reveal"" is set 6-hour difference/ or at 3am while should be at 9am","Check Database Consistency: Check the posts table in the backend for the target post. Status must be ""scheduled"" AND scheduled_at must be ""2026-04-01 09:00"". Binary: 1.0 if correct, 0.0 otherwise.
Identification of Discrepancy: +1.0 if the Agent's log/summary explicitly mentions the 6-hour difference or this specific post was mistakenly set at 3 am while shoud be set at 9 am during the audit.
Accuracy of Distractors: +1.0 if the Agent correctly identifies that the other 3 posts require no changes. Total max score: 3.0","1. Social Media:
Post 1: ""Q2 Product Roadmap Reveal"", scheduled for 2026-04-01 03:00 AM (The Error), Posts 2-4: 3 normal posts with times that perfectly match the Master DB (The Distractors).
2. DB (Source of Truth): A read-only table view within the same app or a separate tab showing: POST-ID: 992 | Title: Q2 Product Roadmap Reveal | Master_Schedule: 2026-04-01 09:00 AM
3. Interactive Editor: The scheduled time field must be editable and correctly update the underlying database upon saving.
4. Company account: Pre-registered credentials available for login.",Browser Automation,social-app,A2,
